#Mean	158.116
#Median	157
#Mode	159
#STDev	52.184
#PercentOfPairs	88.258
#InsertSize	Count
35	21137
36	25127
37	22893
38	22239
39	24183
40	24141
41	27084
42	25691
43	25877
44	26880
45	29238
46	28755
47	30317
48	31806
49	32188
50	33594
51	34957
52	36662
53	37936
54	39138
55	49838
56	42516
57	41981
58	42953
59	44425
60	47364
61	48238
62	49729
63	51313
64	55693
65	54784
66	57731
67	60321
68	63071
69	64659
70	64062
71	71685
72	72222
73	87277
74	76271
75	205616
76	89477
77	78022
78	77163
79	79193
80	79278
81	86172
82	89572
83	107299
84	90541
85	91228
86	100165
87	100271
88	98789
89	108985
90	106384
91	110291
92	110744
93	116594
94	111286
95	113161
96	125656
97	121300
98	135789
99	126141
100	135900
101	141178
102	138200
103	167422
104	138995
105	142274
106	141184
107	151364
108	174302
109	155525
110	153602
111	169810
112	155036
113	165724
114	180647
115	188993
116	169764
117	173432
118	185412
119	190054
120	189381
121	187583
122	198166
123	191285
124	196219
125	196796
126	209332
127	205036
128	207617
129	210128
130	212327
131	209982
132	220141
133	244059
134	262276
135	232576
136	218752
137	223945
138	230549
139	234508
140	231888
141	230375
142	233687
143	229295
144	253181
145	256331
146	260282
147	308174
148	244791
149	319814
150	254612
151	258152
152	237326
153	252100
154	242296
155	245523
156	244182
157	252598
158	270195
159	358136
160	242919
161	280329
162	348249
163	299899
164	304566
165	318578
166	259583
167	304230
168	260914
169	237646
170	226604
171	223104
172	233876
173	219938
174	259241
175	212376
176	217651
177	205420
178	205761
179	213954
180	218327
181	195942
182	209763
183	192196
184	223330
185	198060
186	248572
187	181697
188	209345
189	179629
190	173799
191	168521
192	175152
193	165017
194	164774
195	161266
196	159468
197	159609
198	159273
199	151590
200	159583
201	153962
202	147617
203	139437
204	144276
205	133863
206	131688
207	133634
208	133577
209	124306
210	139114
211	126565
212	126284
213	117724
214	119645
215	131376
216	113404
217	107488
218	110972
219	109569
220	102420
221	99583
222	98913
223	96040
224	96866
225	97053
226	93459
227	93719
228	94109
229	92277
230	86787
231	85070
232	84205
233	82205
234	80533
235	75898
236	75744
237	74490
238	72517
239	71205
240	71065
241	71083
242	72595
243	67386
244	65646
245	62898
246	63429
247	60207
248	60290
249	59999
250	58196
251	57110
252	56972
253	56272
254	55711
255	53851
256	52710
257	51648
258	58258
259	49121
260	48836
261	47372
262	46957
263	46079
264	48650
265	56713
266	44522
267	44253
268	43613
269	42822
270	49446
271	51567
272	40767
273	43431
274	77427
275	45128
276	39555
277	38920
278	36152
279	35519
280	33821
281	34745
282	32277
283	32099
284	31163
285	30725
286	29070
287	27882
288	26255
289	25227
290	14885
291	7975
